Year,Rating
0,1500.0
2011,1699.0051153388185
2012,1427.5492752426026
2013,1429.8007515355193
2014,1113.279186020991
2015,1005.2237595531312
2016,951.8043761669715
2017,860.9374930669246
2018,974.4022518360872
2019,803.6402531841571
2020,796.0793824964255
2021,598.7356528848745
2022,464.49269428090497
