Year,Rating
0,1200.0
2011,1363.7956139386022
2012,1439.1115807814242
2013,1542.3620262099641
2014,1697.7404295575013
2015,1940.5773031651638
2016,2271.758117297147
2017,2588.4247839638133
2018,2888.4247839638133
2019,3174.78842032745
2020,3449.78842032745
2021,3715.173035712065
2022,3972.315892854922
