Year,Rating
0,1200.0
2011,1305.29479078263
2012,1389.9297912130357
2013,1378.28431044029
2014,1234.080034283871
2015,1158.4325947640464
2016,1054.7705506428138
2018,850.3913143544481
2019,933.9827183732021
2020,1220.3463547368385
2021,1111.6286284292387
2022,1248.174589671412
