Country,Rating,Rank
United States of America,4226.954004380767,1
Russia,4043.1040154217653,2
Iran,3826.4921600023104,3
Japan,3799.9027372902074,4
China,3674.112565038762,5
Taiwan,3650.357956104614,6
Romania,3607.090816745724,7
Singapore,3556.335121255596,8
Republic of Korea,3364.3318240602775,9
Australia,3345.3866186221608,10
Sweden,3334.2325720269914,11
Lithuania,3285.878330299126,12
Poland,3270.59637032805,13
Bulgaria,3245.8155367282416,14
Croatia,3229.7394992788463,15
Slovakia,3214.9738892832584,16
Belarus,3184.2872509061417,17
Czech Republic,3066.993910111944,18
Canada,2999.5298990815127,19
Vietnam,2986.4098723342026,20
Thailand,2960.44072436067,21
Latvia,2839.736842704656,22
Kazakhstan,2825.361225436086,23
Hong Kong,2791.1173422201514,24
United Kingdom,2751.5421509918056,25
Estonia,2693.7433469720763,26
Serbia,2598.752263637334,27
Hungary,2425.6822201228283,28
Israel,2383.347877663935,29
Italy,2365.7714650847424,30
France,2363.4793532282524,31
Brazil,2306.3631473987866,32
Germany,2292.9481276347824,33
Indonesia,2224.0381066969308,34
Ukraine,2188.6473197291007,35
Turkey,2103.368921145365,36
Finland,2071.0723477377915,37
Mexico,1848.8304378397004,38
South Africa,1437.1803183121444,39
Malaysia,1381.6620440131824,40
Switzerland,1230.633487717508,41
India,1088.3460070868728,42
Netherlands,931.8893952107769,43
Belgium,874.3248110105735,44
Georgia,870.3739837194926,45
Moldova,797.2287846944752,46
Macedonia,720.7974422403183,47
Syria,641.5375561711332,48
Slovenia,632.9657154558041,49
Saudi Arabia,631.2817778555017,50
Egypt,554.0315640836503,51
Philippines,526.4304167047802,52
New Zealand,400.6663100926618,53
Colombia,352.3299093340337,54
Greece,252.16744262604936,55
Bangladesh,236.626702635951,56
Iceland,-35.500600802893246,57
El Salvador,-35.500600802893246,58
Spain,-82.48842083600653,59
Portugal,-111.1194747957612,60
Denmark,-204.5714249061478,61
Dominican Republic,-216.0795207929075,62
Chile,-312.31223614589857,63
Bosnia and Herzegovina,-397.88863389197763,64
Mongolia,-417.28014953610636,65
Morocco,-425.0,66
Palestine,-425.0,67
Uzbekistan,-429.6015937656793,68
Cuba,-476.983071591161,69
Austria,-486.5496273040323,70
Macau,-547.7588266335644,71
Tajikistan,-558.8114766783979,72
Argentina,-655.6869848285041,73
Luxembourg,-673.6006967055798,74
Norway,-734.059893649373,75
Turkmenistan,-746.0098221808356,76
Cyprus,-750.1051680901137,77
Kyrgyzstan,-812.4683282583964,78
Bolivia,-836.4709597898194,79
Sri Lanka,-843.8518030391266,80
Jordan,-862.4708111877726,81
Ireland,-880.3589320350636,82
Azerbaijan,-913.612227169589,83
Montenegro,-942.9830860881356,84
Tunisia,-953.2503628252094,85
Venezuela,-1189.5374555687654,86
Nigeria,-1470.294374782331,87
