Year,Predective Accuracy
2012,72.963
2013,79.0003
2014,81.4815
2015,83.8966
2016,80.9568
2017,81.354
2018,82.2775
2019,84.1486
2020,86.8484
2021,82.5843
2022,83.3958
,
Avg ,81.7188
