Year,Predective Accuracy
2012,73.5494
2013,78.7731
2014,82.3246
2015,85.3952
2016,81.6975
2017,80.3787
2018,81.823
2019,84.4694
2020,87.5434
2021,82.6609
2022,85.0936
,
K = 17.2,
Avg,82.15534545
