Year,Predective Accuracy
2012,72.5
2013,77.9942
2014,80.0964
2015,81.0167
2016,77.4383
2017,79.1738
2018,78.6421
2019,80.0855
2020,82.1171
2021,77.8345
2022,78.8015
,
,
78.70000909,
