Year,Rating
0,25.0
2012,4.3924336306547795
2013,2.1930264353689233
2014,5.204211984247364
2015,7.100949921992898
2016,6.415140990482646
2017,5.05715509681351
2018,8.667642731744108
2019,7.713961574068836
2020,7.543186913638731
2021,6.80660658461657
2022,5.741017809776488
