Year,Rating
0,1200.0
2011,1117.6926019425853
2012,1057.0364214489894
2013,845.7231416931631
2014,651.1365499803014
2016,375.62330433270887
2017,124.70636538060661
2018,-117.28014953610634
2019,-417.28014953610636
2021,-703.6437858997427
2022,-978.6437858997427
