Year,Rating
0,1200.0
2011,1213.428391058543
2012,1211.182903507323
2013,1146.7261476117608
2014,1209.4775465126759
2016,1339.3475004187571
2017,1309.521577452143
2018,1286.1744229087644
2019,1230.633487717508
2021,1182.1520091357163
2022,1176.1780232153465
