Year,Rating
0,1200.0
2011,1628.532257420176
2012,2078.5319262966973
2013,2324.6516344693846
2014,2724.6516344693846
2016,3088.937348755099
2017,3426.437348755099
2018,3743.1040154217653
2019,4043.1040154217653
2021,4329.467651785401
2022,4604.467651785401
