Year,Rating
0,1200.0
2011,1020.0856335523608
2012,848.8023608784131
2013,682.5175396162854
2014,458.51164404156935
2015,298.2540271858199
2016,-39.24597281418011
2017,-355.91263948084674
2018,-655.9126394808468
2019,-942.2762758444832
2020,-1217.2762758444833
2021,-1482.6608912290985
2022,-1739.8037483719556
