Year,Rating
0,1200.0
2011,1439.9458885714714
2012,1561.5527458993236
2013,1712.1755661450995
2014,2086.7511646574612
2015,2451.0368789431755
2016,2788.5368789431755
2017,3105.203545609842
2018,3405.203545609842
2019,3691.5671819734785
2020,3966.5671819734785
2021,4231.951797358094
2022,4489.094654500951
