Year,Rating
0,1200.0
2011,1393.211350856792
2012,1603.4123408345833
2013,1823.037588230248
2014,2135.8196616683367
2015,2500.105375954051
2016,2837.605375954051
2017,3154.2720426207175
2018,3454.2720426207175
2019,3740.635678984354
2020,4015.635678984354
2021,4281.020294368969
2022,4538.163151511826
