K,ACC
10.7,81.83312584616895
10.8,81.83847035319731
10.9,81.84550952309071
11.0,81.85525781138513
11.1,81.85758644909505
11.2,81.86225680799856
11.3,81.88767560115697
11.4,81.87943851865585
11.5,81.88464146979133
11.6,81.88760266130134
11.7,81.89780568978557
11.8,81.89981984159488
11.9,81.91518213223807
12.0,81.91902431948633
12.1,81.91901390424196
12.2,81.92097646764421
12.3,81.9152884306708
12.4,81.91642773422981
12.5,81.913570296009
12.6,81.92627418989117
12.7,81.92143824138194
12.8,81.92171256602445
12.9,81.9312194772615
13.0,81.9363787273986
13.1,81.93580997398827
13.2,81.93817088554762
13.3,81.94496472056248
13.4,81.96018562141286
13.5,81.95781915251526
13.6,81.96863216185297
13.7,81.97195374360336
13.8,81.98259133570349
13.9,81.99566616179945
14.0,82.00605416328648
14.1,82.01567788271237
14.2,82.01878209176593
14.3,82.02445972551683
14.4,82.05515957277379
14.5,82.0616698034054
14.6,82.06782300783483
14.7,82.06534474107994
14.8,82.07786545616048
14.9,82.0735340937902
15.0,82.09103791375414
15.1,82.0914794706625
15.2,82.1083523050106
15.3,82.11236770615503
15.4,82.11695907438276
15.5,82.11243686919897
15.6,82.11048399302491
15.7,82.11829477809353
15.8,82.11905350281641
15.9,82.12140209951411
16.0,82.13159238268355
16.1,82.13471931622477
16.2,82.13277359944325
16.3,82.13033561173484
16.4,82.13530272947659
16.5,82.14652607403328
16.6,82.14999513940094
16.7,82.1356143097161
16.8,82.14526703092783
16.9,82.13953868921152
17.0,82.14587704399857
17.1,82.14453162084234
17.2,82.15535648743173
17.3,82.14770836061129
17.4,82.1377466971626
17.5,82.13798806219815
17.6,82.13559916075752
17.7,82.1269275283151
17.8,82.12543875341204
17.9,82.11516976345526
18.0,82.12262575788034
18.1,82.1225386940525
18.2,82.12331600531685
18.3,82.12598744495567
18.4,82.12414636663891
18.5,82.12935004579055
18.6,82.13440584143629
18.7,82.13804929846235
18.8,82.14078669957372
18.9,82.12745292013075
19.0,82.12811843353784
19.1,82.12289790776546
19.2,82.13080525814676
19.3,82.13595732030733
19.4,82.12884250006043
19.5,82.12935820341308
19.6,82.1298941496419
19.7,82.11991491155631
19.8,82.11975472686336
19.9,82.11587706419431
20.0,82.11587706419431
20.1,82.11097428017439
20.2,82.1132957584918
20.3,82.11445923451454
20.4,82.1085250031835
20.5,82.10609669708494
20.6,82.09618823611942
20.7,82.09112935669066
20.8,82.09362539276651
20.9,82.08227497554934
21.0,82.08265073708523
21.1,82.08456025042977
21.2,82.08230793515634
21.3,82.0926453601409
21.4,82.10784130658134
21.5,82.10298115737477
21.6,82.09223982689484
21.7,82.08441292883995
21.8,82.09206352921562
21.9,82.08494550739734
22.0,82.08657352303224
22.1,82.08375494157828
22.2,82.08277728436286
22.3,82.09006985026501
22.4,82.08298584221689
22.5,82.09087797372815
22.6,82.08817353222375
22.7,82.0901981082181
22.8,82.09209706591467
22.9,82.08608719790472
23.0,82.09169725610693
23.1,82.09412733071021
23.2,82.1020346810915
23.3,82.10921630861547
23.4,82.10749511024875
23.5,82.09232493832633
23.6,82.09210114792769
23.7,82.09731681579396
23.8,82.1058067310854
23.9,82.10076882254896
24.0,82.09111212984149
24.1,82.07828689435861
24.2,82.07781776908146
24.3,82.07554787917113
24.4,82.08243492550179
24.5,82.08604767851544
24.6,82.08660941293687
24.7,82.07604365211999
24.8,82.07134368760636
24.9,82.07144025291903
25.0,82.06695586524833
25.1,82.06304777444122
25.2,82.0654778490445
25.3,82.08369274858642
25.4,82.08308512349981
25.5,82.07851472616443
25.6,82.08086113319534
25.7,82.07339315005562
25.8,82.07339315005562
25.9,82.06333274653686
26.0,82.06333274653686
26.1,82.07497039981142
26.2,82.08020631055386
26.3,82.08842098744324
26.4,82.08582031290265
26.5,82.077867243925
26.6,82.07784627303265
26.7,82.08465375309684
26.8,82.08434642658875
26.9,82.07982422140496
27.0,82.07689601808593
27.1,82.07383678593801
27.2,82.06886483887416
27.3,82.06329098410889
27.4,82.05817742687172
27.5,82.05841879190724
27.6,82.05836178402839
27.7,82.05086800067424
27.8,82.05086800067424
27.9,82.0509597503394
28.0,82.05625926678755
28.1,82.05901188676894
28.2,82.0646339622698
28.3,82.06784134813743
28.4,82.06915213207543
28.5,82.07401065353127
28.6,82.08143364609079
28.7,82.0865351603329
28.8,82.08924194392958
28.9,82.08657050429075
29.0,82.06923774916204
29.1,82.06150743009444
29.2,82.06674334083691
