K,ACC,,
28,78.09683883,,
28.1,78.09469512,,
28.2,78.09692717,,
28.3,78.09394358,,
28.4,78.09678958,,
28.5,78.08912359,,
28.6,78.09950673,,
28.7,78.09724726,,
28.8,78.09722969,,
28.9,78.0913123,,
29,78.08627439,,
29.1,78.07914435,,
29.2,78.07174614,,
29.3,78.07934369,,
29.4,78.08702725,,
29.5,78.08688245,,
29.6,78.08092329,,
29.7,78.08114708,,
29.8,78.08607639,,
29.9,78.08554044,,
30,78.07598033,,
30.1,78.07115566,,
30.2,78.08065876,,
30.3,78.0835008,,
30.4,78.07874925,,
30.5,78.08116482,,
30.6,78.07715768,,
30.7,78.08432788,,
30.8,78.07941614,,
30.9,78.08640696,,
31,78.09178767,,
31.1,78.09459351,,
31.2,78.09497967,,
31.3,78.08030662,,
31.4,78.07698022,,
31.5,78.06474631,,
31.6,78.06555323,,
31.7,78.05810282,,
31.8,78.05518839,,
31.9,78.05750987,,
32,78.05481263,,
32.1,78.04888323,,
32.2,78.0334975,,
32.3,78.03338891,,
32.4,78.03069167,,
32.5,78.02585893,,
32.6,78.03120417,,
32.7,78.02605107,,
32.8,78.01863467,,
32.9,78.01815193,,
33,78.01541453,,
33.1,78.02047341,,
33.2,78.01818492,,
33.3,78.0324121,,
33.4,78.02227268,,
33.5,78.01086006,,
33.6,78.01556002,,
33.7,78.01514806,,
33.8,78.0175097,,
33.9,78.0143813,,
34,78.01250154,,
34.1,78.01788226,,
34.2,78.00504879,,
34.3,78.00772186,,
34.4,78.00783046,,
34.5,77.99940484,,
34.6,77.9974729,,
34.7,78.0003189,,
34.8,77.98052674,,
34.9,77.98553403,,
35,77.97775872,,
35.1,77.96645095,,
35.2,77.96150139,,
35.3,77.95403341,,
35.4,77.96040701,,
35.5,77.95768398,,
35.6,77.95730822,,
35.7,77.96063462,,
35.8,77.95303707,,
35.9,77.94801835,,
36,77.95044842,,
36.1,77.94037261,,
36.2,77.93766819,,
36.3,77.93476915,,
36.4,77.93775994,,
36.5,77.94091327,,
36.6,77.94029613,,
36.7,77.94029613,,
36.8,77.94493908,,
36.9,77.94339812,,
37,77.94874335,,
37.1,77.94631328,,
37.2,77.94676468,,
37.3,77.94919475,,
37.4,77.94935494,,
37.5,77.92919023,,
37.6,77.92473163,,
37.7,77.91704807,,
37.8,77.91170518,,
37.9,77.90676385,,
38,77.89662443,,
38.1,77.89367379,,
38.2,77.89367379,,
38.3,77.89141106,,
38.4,77.88444121,,
38.5,77.87984984,,
38.6,77.87975809,,
38.7,77.87547405,,
38.8,77.87536545,,
38.9,77.88261069,,
39,77.8805684,,
39.1,77.88108896,,
39.2,77.87585305,,
39.3,77.8750476,,
39.4,77.87765543,,
39.5,77.87018745,,
39.6,77.85748356,,
39.7,77.85971008,,
39.8,77.85742481,,
39.9,77.86463603,,
40,77.85798654,,
40.1,77.85257287,,
40.2,77.84544283,,
40.3,77.83983116,,
40.4,77.8396534,,
40.5,77.83711153,,
40.6,77.82940218,,
40.7,77.82436427,,
40.8,77.81669829,,
40.9,77.81211178,,
41,77.80725163,,
41.1,77.80498174,,
41.2,77.80499697,,
41.3,77.80987469,,
41.4,77.80987469,,
41.5,77.81226929,,
41.6,77.80723138,,
41.7,77.80970162,,
41.8,77.81265226,,
41.9,77.80779211,,
42,77.80006486,,
42.1,77.80560809,,
42.2,77.81023962,,
42.3,77.81023962,,
42.4,77.80511231,,
42.5,77.79944524,,
42.6,77.79960543,,
42.7,77.79926748,,
42.8,77.80474229,,
42.9,77.80204505,,
43,77.79622983,,
43.1,77.79685898,,
43.2,77.79581514,,
43.3,77.78334222,,
43.4,77.77598283,,
43.5,77.77301681,,
43.6,77.77841291,,
43.7,77.77382154,,
43.8,77.77161761,,
43.9,77.77161761,,
44,77.7724455,,
44.1,77.77268686,,
44.2,77.76706479,,
44.3,77.76949486,,
44.4,77.76710978,,
44.5,77.7646797,,
44.6,77.76187621,,
44.7,77.75907037,,
44.8,77.75421022,,
44.9,77.75921751,,
45,77.75678744,,
45.1,77.75417961,,
45.2,77.74931946,,
45.3,77.74050142,,
45.4,77.73807135,,
45.5,77.73807135,,
45.6,77.73342443,,
45.7,77.72849512,,
45.8,77.72013564,,
45.9,77.7248872,,
46,77.7227259,,
46.1,77.7154181,,
46.2,77.70795012,,
46.3,77.70980409,,
46.4,77.7051217,,
46.5,77.70755177,,
46.6,77.70741022,,
46.7,77.70505578,,
46.8,77.70716548,,
46.9,77.71447328,,
47,77.71248975,,
47.1,77.70697231,,
47.2,77.70955202,,
47.3,77.70694418,,
47.4,77.70235281,,
47.5,77.69459508,,
47.6,77.69464667,,
47.7,77.69671783,,
47.8,77.68958779,,
47.9,77.69010835,,
48,77.69253842,,
48.1,77.69253842,,
48.2,77.69305898,,
48.3,77.68794705,,
48.4,77.68794705,,
48.5,77.6928072,,
48.6,77.70267464,,
48.7,77.69490169,,
48.8,77.68804043,,
48.9,77.69064827,,
49,77.69617126,,
49.1,77.69617126,,
49.2,77.69617126,,
49.3,77.69106975,,
49.4,77.68126827,,
49.5,77.67853087,,
49.6,77.67853087,,
49.7,77.68096094,,
49.8,77.66599594,,
49.9,77.65627565,,
50,77.64726566,,
