K,ACC
29.5,85.16107556
29.6,85.15386434
29.7,85.15159445
29.8,85.1462901
29.9,85.13849135
30,85.1436943
30.1,85.1409569
30.2,85.13836664
30.3,85.13604516
30.4,85.12643346
30.5,85.12661122
30.6,85.1216183
30.7,85.12110917
30.8,85.11778277
30.9,85.1176532
31,85.10511432
31.1,85.09960744
31.2,85.09453171
31.3,85.09463315
31.4,85.09499134
31.5,85.08516406
31.6,85.08790146
31.7,85.08783785
31.8,85.08738325
31.9,85.08443262
32,85.07692682
32.1,85.07449674
32.2,85.06672143
32.3,85.05953981
32.4,85.04944537
32.5,85.04937621
32.6,85.05140474
32.7,85.05155115
32.8,85.04887971
32.9,85.04132715
33,85.04132715
33.1,85.04069083
33.2,85.0436696
33.3,85.0601457
33.4,85.0628831
33.5,85.06599627
33.6,85.07191292
33.7,85.06181467
33.8,85.05690147
33.9,85.05939998
34,85.06474522
34.1,85.07052748
34.2,85.07144959
34.3,85.07425543
34.4,85.06662006
34.5,85.07369309
34.6,85.07331733
34.7,85.07310555
34.8,85.07591139
34.9,85.07601999
35,85.07142862
35.1,85.07142146
35.2,85.07122346
35.3,85.07365353
35.4,85.08931365
35.5,85.09500168
35.6,85.09500168
35.7,85.09301815
35.8,85.09058808
35.9,85.09337706
36,85.08794242
36.1,85.0958921
36.2,85.1041188
36.3,85.1041188
36.4,85.10644028
36.5,85.10644028
36.6,85.10370041
36.7,85.09395594
36.8,85.0943679
36.9,85.10258258
37,85.09977674
37.1,85.09212614
37.2,85.09196596
37.3,85.09288091
37.4,85.08818094
37.5,85.09113158
37.6,85.09113158
37.7,85.08627143
37.8,85.08079663
37.9,85.07804238
38,85.06731396
38.1,85.06488389
38.2,85.06454109
38.3,85.06478245
38.4,85.06751985
38.5,85.06768004
38.6,85.06571747
38.7,85.06049695
38.8,85.060159
38.9,85.04700298
39,85.04170347
39.1,85.04170347
39.2,85.03903203
39.3,85.03712251
39.4,85.04235842
39.5,85.04337711
39.6,85.04083844
39.7,85.03561792
39.8,85.03515041
39.9,85.03282893
40,85.02258573
40.1,85.0222784
40.2,85.01913698
40.3,85.02184625
40.4,85.01674473
40.5,85.01431466
40.6,85.0139389
40.7,85.0139389
40.8,85.0182631
40.9,85.0176741
41,85.01758235
41.1,85.01742217
41.2,85.01543147
41.3,85.02831313
41.4,85.02807176
41.5,85.03608608
41.6,85.04110642
41.7,85.03128399
41.8,85.03365046
41.9,85.03122039
42,85.02593876
42.1,85.02361728
42.2,85.02618012
42.3,85.02779506
42.4,85.02784665
42.5,85.02321029
42.6,85.02308072
42.7,85.02345648
42.8,85.02071908
42.9,85.02134824
43,85.01333872
43.1,85.00145713
43.2,84.99454428
43.3,84.99416852
43.4,84.99200723
43.5,84.99474463
43.6,84.98718724
43.7,84.98197713
43.8,84.98221849
