K,ACC,,,,,
22.5,72.51392542,,,,,
22.6,72.50880945,,,,,
22.7,72.50516141,,,,,
22.8,72.4979464,,,,,
22.9,72.49811706,,,,,
23,72.48700229,,,,,
23.1,72.49082098,,,,,
23.2,72.49319847,,,,,
23.3,72.5078802,,,,,
23.4,72.51161782,,,,,
23.5,72.51186954,,,,,
23.6,72.51186954,,,,,
23.7,72.50844905,,,,,
23.8,72.50505273,,,,,
23.9,72.51409861,,,,,
24,72.51350813,,,,,
24.1,72.51709928,,,,,
24.2,72.51353231,,,,,
24.3,72.50606558,,,,,
24.4,72.50300803,,,,,
24.5,72.51098417,,,,,
24.6,72.51745176,,,,,
24.7,72.50540521,,,,,
24.8,72.49836085,,,,,
24.9,72.49454217,,,,,
25,72.49932535,,,,,
25.1,72.4911811,,,,,
25.2,72.49457742,,,,,
25.3,72.50162177,,,,,
25.4,72.50965481,,,,,
25.5,72.51047283,,,,,
25.6,72.51949454,,,,,
25.7,72.51137192,,,,,
25.8,72.5123606,,,,,
25.9,72.51146151,,,,,
26,72.51550774,,,,,
26.1,72.50719881,,,,,
26.2,72.50717464,,,,,
26.3,72.51099332,,,,,
26.4,72.50217498,,,,,
26.5,72.49835629,,,,,
26.6,72.50723153,,,,,
26.7,72.47271939,,,,,
26.8,72.46319425,,,,,
26.9,72.45241227,,,,,
27,72.45281046,,,,,
27.1,72.45629039,,,,,
27.2,72.45190539,,,,,
27.3,72.45114426,,,,,
27.4,72.43912189,,,,,
27.5,72.4334965,,,,,
27.6,72.42908733,,,,,
27.7,72.43397576,,,,,
27.8,72.43397576,,,,,
27.9,72.44582748,,,,,
28,72.45702331,,,,,
28.1,72.45345634,,,,,
28.2,72.43413789,,,,,
28.3,72.43795658,,,,,
28.4,72.42201028,,,,,
28.5,72.42647634,,,,,
28.6,72.4228283,,,,,
28.7,72.4228283,,,,,
28.8,72.42765984,,,,,
28.9,72.43903484,,,,,
29,72.44689976,,,,,
29.1,72.45436649,,,,,
29.2,72.44707041,,,,,
29.3,72.45448025,,,,,
29.4,72.42860463,,,,,
29.5,72.42801415,,,,,
29.6,72.41995694,,,,,
29.7,72.42385669,,,,,
29.8,72.42028972,,,,,
29.9,72.41307472,,,,,
30,72.41307472,,,,,
30.1,72.41126802,,,,,
30.2,72.40264196,,,,,
30.3,72.41533588,,,,,
30.4,72.41075606,,,,,
30.5,72.41075606,,,,,
30.6,72.40611935,,,,,
30.7,72.41457475,,,,,
30.8,72.40934755,,,,,
30.9,72.40934755,,,,,
31,72.40114387,,,,,
31.1,72.39732518,,,,,
31.2,72.39451935,,,,,
31.3,72.38547346,,,,,
31.4,72.41658928,,,,,
31.5,72.41294124,,,,,
31.6,72.42122599,,,,,
31.7,72.41782967,,,,,
31.8,72.42164836,,,,,
31.9,72.42995729,,,,,
32,72.41459549,,,,,
32.1,72.41442484,,,,,
32.2,72.40936829,,,,,
32.3,72.41394811,,,,,
32.4,72.40574443,,,,,
32.5,72.41694878,,,,,
32.6,72.4177668,,,,,
32.7,72.42141484,,,,,
32.8,72.43410876,,,,,
32.9,72.45393926,,,,,
33,72.43882918,,,,,
33.1,72.44163502,,,,,
33.2,72.42687222,,,,,
33.3,72.41866854,,,,,
33.4,72.40198527,,,,,
33.5,72.39383848,,,,,
33.6,72.39756759,,,,,
33.7,72.38860277,,,,,
33.8,72.37689752,,,,,
33.9,72.36968252,,,,,
34,72.36586383,,,,,
34.1,72.37050054,,,,,
34.2,72.37067119,,,,,
34.3,72.36269505,,,,,
34.4,72.36005987,,,,,
34.5,72.36887821,,,,,
34.6,72.38282298,,,,,
34.7,72.3798465,,,,,
34.8,72.3806887,,,,,
34.9,72.3891441,,,,,
35,72.38557713,,,,,
35.1,72.37319182,,,,,
35.2,72.3685551,,,,,
35.3,72.37653125,,,,,
35.4,72.3815309,,,,,
35.5,72.38517894,,,,,
35.6,72.37672353,,,,,
35.7,72.38500829,,,,,
35.8,72.38865632,,,,,
35.9,72.37581593,,,,,
36,72.37241961,,,,,
36.1,72.36163763,,,,,
36.2,72.37631936,,,,,
36.3,72.37334288,,,,,
36.4,72.35685444,,,,,
36.5,72.35244527,,,,,
36.6,72.34421741,,,,,
36.7,72.34065044,,,,,
36.8,72.32795652,,,,,
36.9,72.33295617,,,,,
37,72.31440932,,,,,
37.1,72.32544301,,,,,
37.2,72.32527236,,,,,
37.3,72.32145367,,,,,
37.4,72.31706868,,,,,
37.5,72.31136222,,,,,
37.6,72.31029248,,,,,
37.7,72.31857723,,,,,
37.8,72.31394052,,,,,
37.9,72.31394052,,,,,
38,72.31419224,,,,,
38.1,72.31809199,,,,,
38.2,72.31328463,,,,,
38.3,72.302332,,,,,
38.4,72.29492216,,,,,
38.5,72.29127413,,,,,
38.6,72.28745544,,,,,
38.7,72.27897586,,,,,
38.8,72.27077218,,,,,
38.9,72.27060152,,,,,
39,72.26237366,,,,,
39.1,72.26678284,,,,,
39.2,72.25962472,,,,,
39.3,72.25962472,,,,,
39.4,72.25156751,,,,,
39.5,72.25156751,,,,,
39.6,72.24774882,,,,,
39.7,72.24418185,,,,,
39.8,72.24808161,,,,,
39.9,72.24265959,,,,,
40,72.25476302,,,,,
40.1,72.25035385,,,,,
40.2,72.24571714,,,,,
40.3,72.2385832,,,,,
40.4,72.23934433,,,,,
40.5,72.23470762,,,,,
40.6,72.22159133,,,,,
40.7,72.22880634,,,,,
40.8,72.22773659,,,,,
40.9,72.21122398,,,,,
41,72.21122398,,,,,
41.1,72.20400897,,,,,
41.2,72.18789456,,,,,
41.3,72.17550925,,,,,
41.4,72.17169056,,,,,
41.5,72.17062081,,,,,
41.6,72.1659841,,,,,
41.7,72.16657458,,,,,
41.8,72.16741678,,,,,
41.9,72.16774957,,,,,
42,72.16303179,,,,,
42.1,72.15946482,,,,,
42.2,72.15207916,,,,,
42.3,72.14079375,,,,,
42.4,72.14161177,,,,,
42.5,72.13315637,,,,,
42.6,72.1295894,,,,,
42.7,72.12984112,,,,,
42.8,72.10838574,,,,,
42.9,72.11203378,,,,,
43,72.12031853,,,,,
43.1,72.11209067,,,,,
43.2,72.11132954,,,,,
43.3,72.10776257,,,,,
43.4,72.10037691,,,,,
43.5,72.10020626,,,,,
43.6,72.0890915,,,,,
43.7,72.08040855,,,,,
43.8,72.07684158,,,,,
43.9,72.07310396,,,,,
44,72.07310396,,,,,
44.1,72.05758003,,,,,
44.2,72.05758003,,,,,
44.3,72.04131659,,,,,
44.4,72.03308874,,,,,
44.5,72.03673677,,,,,
44.6,72.03673677,,,,,
44.7,72.04005202,,,,,
44.8,72.02477727,,,,,
44.9,72.01298244,,,,,
45,72.0203681,,,,,
45.1,72.01323416,,,,,
45.2,72.00503047,,,,,
45.3,72.00113072,,,,,
45.4,71.99366399,,,,,
45.5,72.0029616,,,,,
45.6,72.00556407,,,,,
45.7,71.99758793,,,,,
45.8,71.98995055,,,,,
45.9,71.9822321,,,,,
46,71.98588014,,,,,
46.1,71.9642214,,,,,
46.2,71.95666509,,,,,
46.3,71.95689263,,,,,
46.4,71.95332566,,,,,
46.5,71.9569737,,,,,
46.6,71.95332566,,,,,
46.7,71.94975869,,,,,
46.8,71.94975869,,,,,
46.9,71.94594001,,,,,
47,71.94212132,,,,,
47.1,71.93439436,,,,,
47.2,71.94001975,,,,,
47.3,71.92839557,,,,,
47.4,71.92822492,,,,,
47.5,71.92440623,,,,,
47.6,71.9279732,,,,,
47.7,71.93154017,,,,,
47.8,71.93154017,,,,,
47.9,71.92789213,,,,,
48,71.92789213,,,,,
48.1,71.9314591,,,,,
48.2,71.92789213,,,,,
48.3,71.92432516,,,,,
48.4,71.92814385,,,,,
48.5,71.92183645,,,,,
48.6,71.9097899,,,,,
48.7,71.9097899,,,,,
48.8,71.91038038,,,,,
48.9,71.90192498,,,,,
49,71.91209494,,,,,
49.1,71.90386708,,,,,
49.2,71.90386708,,,,,
49.3,71.90686774,,,,,
49.4,71.8956634,,,,,
49.5,71.89077496,,,,,
49.6,71.894423,,,,,
49.7,71.90230956,,,,,
49.8,71.92423301,,,,,
49.9,71.9280517,,,,,
50,71.92341499,,,,,
