Year,Predective Accuracy
2012,81.7593
2013,84.0636
2014,85.5164
2015,86.1299
2016,86.2963
2017,84.0792
2018,82.8923
2019,87.5969
2020,87.8107
2021,85.5209
2022,85.7428
,
K,26.6
Avg ,85.21893636
