Year,Predective Accuracy
2012,81.7593
2013,83.6092
2014,84.5227
2015,85.8066
2016,86.6667
2017,83.4481
2018,84.0417
2019,87.089
2020,87.9979
2021,83.9888
2022,83.8951
,
Avg,84.80228182
