Country,Rating,Rank
United States of America,2112.505198428904,1
Russia,2068.9406222945286,2
Iran,2024.1387464562606,3
China,2005.9694679384936,4
Japan,2003.4318347952508,5
Romania,1987.4359779762,6
Singapore,1977.5174387664874,7
Sweden,1976.8035145243182,8
Republic of Korea,1957.598299514787,9
Slovakia,1950.77157881458,10
Bulgaria,1898.0355712844473,11
Belarus,1888.5990818327884,12
Poland,1881.8527217698197,13
Taiwan,1881.1946680105002,14
Australia,1870.1030461715861,15
Lithuania,1869.377855618784,16
Brazil,1852.1997100649214,17
United Kingdom,1830.8870409572773,18
Hong Kong,1824.1870832976676,19
Estonia,1820.8936137050782,20
Serbia,1800.9993498447332,21
Indonesia,1773.329403089172,22
Latvia,1771.6768286269712,23
France,1752.9214758692444,24
Croatia,1731.7718848250756,25
Italy,1726.6603034592576,26
Vietnam,1710.5932240103186,27
Kazakhstan,1701.7075411178762,28
Mexico,1701.403891579174,29
Netherlands,1687.3647294124762,30
Germany,1674.018756030435,31
Belgium,1664.0208940706991,32
Finland,1653.2868524189198,33
Canada,1632.7504581301873,34
Israel,1627.3952996894661,35
Ukraine,1596.3144576519799,36
Armenia,1583.7479026826538,37
Czech Republic,1575.3032353325805,38
Hungary,1568.1901570199623,39
South Africa,1567.2460700192626,40
Malaysia,1534.454400958505,41
Thailand,1525.2912395198077,42
Colombia,1484.362395099145,43
Turkey,1478.5047572448455,44
India,1468.7101288012423,45
Slovenia,1457.984504949937,46
Denmark,1444.0871604398055,47
Switzerland,1423.2279098944557,48
Greece,1399.6906440973476,49
Egypt,1376.9013982728463,50
Georgia,1351.0982477946604,51
Macedonia,1334.9757094900515,52
New Zealand,1307.6067648377232,53
Bosnia and Herzegovina,1300.860450233755,54
Trinidad and Tobago,1265.1752443854866,55
Portugal,1257.3132811312723,56
Tunisia,1233.3559641490576,57
Bangladesh,1227.033177129982,58
Bolivia,1216.6562176742518,59
Austria,1203.896909964872,60
Norway,1201.048350245239,61
Sri Lanka,1166.6252854485751,62
Luxembourg,1160.71759622701,63
Spain,1139.3822839995933,64
Cyprus,1125.8973793255327,65
Kyrgyzstan,1123.2652484037199,66
Azerbaijan,1118.5593246823485,67
Argentina,1118.056312403861,68
Turkmenistan,1112.0544763818134,69
Mongolia,1098.7041292053916,70
Chile,1094.821361580016,71
Venezuela,1086.8743084739745,72
Ireland,1074.3030955813394,73
Libya,1073.667263686596,74
Macau,1069.7280491116508,75
Tajikistan,1059.8546553723734,76
Montenegro,1011.1818147043288,77
Kuwait,953.0031922219166,78
Nigeria,930.2044748453611,79
