Country,Rating,Rank,Z-score,Percentile,,mean,,stdev
Jordan,191.6619305,80,-1.26701804,0.10257442,,1558.933647,,1079.12569
Uzbekistan,167.406943,81,-1.289494557,0.098613104,,1558.933647,,1079.12569
Chile,115.4841641,82,-1.337610156,0.090511776,,1558.933647,,1079.12569
El Salvador,55.26856426,83,-1.393410514,0.081747844,,1558.933647,,1079.12569
Sri Lanka,-72.25451187,84,-1.511583103,0.065319976,,1558.933647,,1079.12569
Bolivia,-132.9473292,85,-1.567825687,0.058460909,,1558.933647,,1079.12569
Dominican Republic,-152.9846658,86,-1.586393808,0.056325002,,1558.933647,,1079.12569
Colombia,-161.0004437,87,-1.593821838,0.055487972,,1558.933647,,1079.12569
Luxembourg,-282.457754,88,-1.706373426,0.043969288,,1558.933647,,1079.12569
Venezuela,-443.1510361,89,-1.855284052,0.031777837,,1558.933647,,1079.12569
Nigeria,-640.8528171,90,-2.03848957,0.020750498,,1558.933647,,1079.12569
