Year,Rating
0,1500.0
2011,1532.4593201513105
2012,1621.359779653856
2013,1630.5920082086018
2016,1533.5612210940346
2019,1484.6530349624365
2020,1514.8855838322588
2021,1547.495727975383
2022,1585.8484370538713
