Year,Rating
0,1500.0
2011,1501.7178090493148
2012,1904.159786897006
2013,2076.921381895756
2014,1880.76042981721
2018,1993.6660174229805
2019,2036.918167194656
2020,2369.848499415879
2021,2530.613161153272
2022,2622.4655573891923
