Year,Predective Accuracy
2012,65.4321
2013,69.9773
2014,74.1343
2016,74.3827
2017,74.5267
2018,77.1986
2019,84.4159
2021,71.3994
2022,80
,
,
K = 9.4,
Avg,74.60744444
