Year,Predective Accuracy
2012,74.1975
2013,79.1951
2014,74.8871
2015,71.1725
2016,78.2407
2017,75.7889
2018,75.1403
2019,81.0211
2020,83.0794
2021,78.6772
2022,75.9051
