Year,Predective Accuracy
2012,74.537
2013,80.2012
2014,74.3752
2015,72.0835
2016,78.0864
2017,76.6495
2018,75.6482
2019,83.8011
2020,85.1109
2021,81.9714
2022,82.0974
,
K,12.2
Avg,78.59652727
