Year,Predective Accuracy
2012,74.3827
2013,80.0714
2014,74.7064
2015,71.9071
2016,79.2901
2017,76.6208
2018,77.5194
2019,83.7209
2020,85.8594
2021,81.5117
2022,80.0499
,
Avg,78.69452727
